80 	Jose Calderon 	SG 	32 	DAL 	56 	56 	31.2 	4.2 	9.4 	.449 	2.4 	5.4 	.444 	1.8 	4.0 	.455 	0.7 	0.8 	.809 	0.4 	2.0 	2.4 	4.8 	1.0 	0.1 	1.3 	1.9 	11.6
81 	Kentavious Caldwell-Pope 	SG 	20 	DET 	54 	40 	22.5 	2.5 	6.3 	.393 	0.8 	2.6 	.309 	1.7 	3.7 	.450 	0.6 	0.8 	.738 	0.4 	1.6 	2.0 	0.8 	1.0 	0.1 	0.4 	2.0 	6.3
82 	Isaiah Canaan 	PG 	22 	HOU 	5 	0 	4.0 	0.2 	0.8 	.250 	0.0 	0.6 	.000 	0.2 	0.2 	1.000 	0.8 	0.8 	1.000 	0.0 	0.2 	0.2 	0.0 	0.0 	0.0 	0.0 	0.6 	1.2
83 	DeMarre Carroll 	SF 	27 	ATL 	48 	48 	31.0 	4.0 	8.4 	.474 	1.3 	3.5 	.367 	2.7 	4.9 	.549 	1.4 	1.9 	.764 	1.4 	4.0 	5.5 	1.8 	1.4 	0.3 	1.0 	2.5 	10.6
84 	Vince Carter 	SG 	37 	DAL 	56 	0 	24.2 	3.8 	9.5 	.403 	1.5 	4.2 	.361 	2.3 	5.4 	.437 	2.2 	2.7 	.828 	0.8 	2.8 	3.5 	2.8 	0.7 	0.4 	1.4 	2.4 	11.4
85 	Michael Carter-Williams 	PG 	22 	PHI 	44 	44 	34.6 	6.2 	15.5 	.398 	0.9 	3.3 	.281 	5.3 	12.2 	.429 	4.0 	5.6 	.704 	1.5 	3.9 	5.3 	6.3 	2.0 	0.7 	3.6 	3.0 	17.3
87 	Mario Chalmers 	PG 	27 	MIA 	47 	47 	29.1 	3.4 	7.2 	.466 	1.2 	3.1 	.390 	2.1 	4.1 	.523 	1.8 	2.4 	.757 	0.5 	2.1 	2.6 	5.0 	1.8 	0.2 	2.3 	2.9 	9.7
88 	Tyson Chandler 	C 	31 	NYK 	32 	32 	29.6 	3.5 	5.9 	.596 	0.0 	0.0 	0.0	3.5 	5.9 	.596 	1.7 	2.8 	.600 	2.9 	6.4 	9.3 	1.2 	0.8 	1.4 	1.2 	2.7 	8.7
89 	Wilson Chandler 	SF 	26 	DEN 	46 	42 	31.3 	5.1 	12.1 	.420 	2.1 	5.8 	.362 	3.0 	6.3 	.472 	2.0 	2.7 	.728 	1.0 	3.7 	4.8 	1.8 	0.8 	0.6 	1.1 	3.0 	14.2
95 	Norris Cole 	PG 	25 	MIA 	53 	6 	25.5 	2.9 	6.6 	.443 	0.9 	2.2 	.387 	2.1 	4.4 	.472 	0.8 	1.0 	.824 	0.2 	2.1 	2.3 	3.2 	1.1 	0.1 	1.7 	1.9 	7.5
96 	Darren Collison 	PG 	26 	LAC 	57 	19 	23.2 	3.5 	7.5 	.460 	0.7 	1.9 	.369 	2.8 	5.6 	.492 	2.3 	2.7 	.864 	0.5 	1.7 	2.2 	3.6 	1.1 	0.2 	1.6 	1.8 	10.0
97 	Nick Collison 	PF 	33 	OKC 	55 	0 	17.4 	1.7 	3.1 	.559 	0.0 	0.2 	.167 	1.7 	2.9 	.589 	0.9 	1.2 	.727 	1.4 	2.1 	3.5 	1.3 	0.3 	0.4 	0.8 	2.1 	4.4
