75	Talib Zanna	OKC	PF	6	18.5	1.33	3.17	.421	0.00	0.00	.000	2.33	3.33	.700	1.00	3.67	2.67	2.67	5.33	0.33	0.50	0.50	5.00
76	C.J. Fair	IND	SF	1	8.3	2.00	2.00	1.000	1.00	1.00	1.000	0.00	0.00	.000	1.00	2.00	1.00	0.00	1.00	0.00	0.00	1.00	5.00
79	Glenn Robinson	MIN	SF	3	10.8	2.33	4.33	.538	0.00	0.33	.000	0.00	0.00	.000	0.00	1.00	0.67	1.33	2.00	2.00	0.67	0.00	4.67
80	Nick Johnson	HOU	SG	5	17.2	1.20	5.40	.222	0.40	2.00	.200	1.80	2.00	.900	1.80	1.80	0.40	1.20	1.60	2.00	1.20	0.00	4.60
81	Russ Smith	NOP	PG	5	7.5	1.60	3.60	.444	0.40	0.40	1.000	1.00	1.20	.833	1.00	1.40	0.40	0.40	0.80	0.60	0.80	0.00	4.60
82	Cleanthony Early	NYK	SF	5	13.0	1.60	4.20	.381	0.80	2.60	.308	0.60	0.80	.750	1.60	3.00	0.40	1.20	1.60	0.60	0.80	0.00	4.60
83	Bruno Caboclo	TOR	PF	4	14.0	1.50	4.00	.375	1.00	2.25	.444	0.25	0.50	.500	1.25	1.25	0.50	1.50	2.00	0.00	0.75	0.00	4.25
84	Damjan Rudez	IND	SF	5	21.2	1.80	6.60	.273	0.60	3.80	.158	0.00	0.20	.000	1.00	1.60	0.20	1.20	1.40	2.60	0.20	0.00	4.20
85	Richard Solomon	OKC	PF	2	12.7	1.50	2.50	.600	0.00	0.00	.000	1.00	2.00	.500	1.50	1.50	2.00	2.50	4.50	0.50	1.00	0.50	4.00
86	Bryce Cotton	SAS	PG	4	12.3	1.50	3.50	.429	0.50	1.50	.333	0.50	0.50	1.000	1.50	2.00	0.00	0.50	0.50	1.50	0.25	0.00	4.00
87	Noah Vonleh	CHA	C	1	18.7	2.00	5.00	.400	0.00	1.00	.000	0.00	0.00	.000	3.00	4.00	2.00	2.00	4.00	0.00	2.00	0.00	4.00
89	Elijah Millsap	MIL	SG	1	6.6	1.00	2.00	.500	0.00	1.00	.000	2.00	2.00	1.000	1.00	2.00	0.00	1.00	1.00	1.00	0.00	0.00	4.00
90	Cory Jefferson	BRK	PF	4	9.3	1.50	3.75	.400	0.00	0.25	.000	1.00	2.00	.500	0.25	0.25	1.00	2.00	3.00	0.25	0.25	0.50	4.00
93	Travis Wear	NYK	PF	5	11.1	1.80	4.00	.450	0.00	0.20	.000	0.20	0.40	.500	0.80	2.20	0.60	2.00	2.60	0.60	0.60	0.00	3.80
94	Micheal Eric	MIL	C	3	12.7	1.67	3.00	.556	0.00	0.00	.000	0.33	1.00	.333	0.67	2.00	0.67	3.00	3.67	0.33	0.67	1.00	3.67
95	Mitchell Watt	GSW	PF	2	9.5	1.50	4.00	.375	0.00	1.00	.000	0.50	1.00	.500	0.00	1.00	1.00	1.00	2.00	1.50	0.50	1.50	3.50
96	Will Cherry	TOR	PG	4	12.1	1.25	3.75	.333	0.00	1.00	.000	1.00	2.00	.500	1.00	0.50	0.00	1.00	1.00	1.50	1.00	0.00	3.50
97	Jack Cooley	UTA	PF	2	5.8	1.00	2.50	.400	0.00	0.00	.000	1.50	3.00	.500	0.50	1.00	1.50	1.50	3.00	0.00	0.00	0.00	3.50
99	Kalin Lucas	MEM	PG	6	6.7	1.17	2.33	.500	0.00	0.00	.000	1.00	1.67	.600	0.67	0.17	0.00	0.50	0.50	0.83	0.50	0.00	3.33
101	Jakarr Sampson	PHI	PF	6	16.3	1.17	3.17	.368	0.33	1.17	.286	0.67	0.83	.800	1.33	1.67	0.33	2.67	3.00	1.00	0.67	0.83	3.33
102	Adreian Payne	ATL	PF	4	16.7	1.25	4.25	.294	0.25	1.50	.167	0.50	0.50	1.000	1.25	3.25	1.50	3.50	5.00	1.00	0.00	1.50	3.25
103	Roscoe Smith	LAL	SF	4	13.3	1.00	2.25	.444	0.00	0.00	.000	1.00	1.50	.667	0.50	1.75	1.00	1.25	2.25	0.25	0.25	0.00	3.00
104	Shawn Jones	MIA	PF	4	16.5	1.50	2.25	.667	0.00	0.00	.000	0.00	0.50	.000	1.50	2.50	1.25	1.75	3.00	0.75	0.50	0.75	3.00
105	Aaron Craft	GSW	PG	4	14.7	1.25	2.50	.500	0.50	1.25	.400	0.00	0.00	.000	1.75	1.75	0.00	2.50	2.50	1.50	1.00	0.00	3.00
106	Stephen Holt	CLE	SG	1	2.3	1.00	1.00	1.000	1.00	1.00	1.000	0.00	0.00	.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00
107	Jarell Eddie	ATL	SF	3	13.1	1.00	2.67	.375	0.67	2.33	.286	0.00	0.00	.000	0.67	1.67	0.00	0.67	0.67	0.33	0.00	0.33	2.67
108	Chris Crawford	CLE	SG	5	7.5	0.80	1.80	.444	0.60	1.60	.375	0.20	0.20	1.000	0.40	1.00	0.00	0.80	0.80	1.60	0.20	0.20	2.40
109	Ronald Roberts	PHI	SF	3	4.8	1.00	1.67	.600	0.00	0.00	.000	0.00	0.67	.000	0.67	0.67	0.67	0.33	1.00	0.33	0.00	0.00	2.00
110	Joe Ingles	LAC	SF	3	8.7	0.33	1.00	.333	0.33	0.67	.500	1.00	1.33	.750	0.33	1.33	0.33	1.00	1.33	0.33	0.00	0.00	2.00
101	Jakarr Sampson	PHI	PF	6	16.3	1.17	3.17	.368	0.33	1.17	.286	0.67	0.83	.800	1.33	1.67	0.33	2.67	3.00	1.00	0.67	0.83	3.33
102	Adreian Payne	ATL	PF	4	16.7	1.25	4.25	.294	0.25	1.50	.167	0.50	0.50	1.000	1.25	3.25	1.50	3.50	5.00	1.00	0.00	1.50	3.25
103	Roscoe Smith	LAL	SF	4	13.3	1.00	2.25	.444	0.00	0.00	.000	1.00	1.50	.667	0.50	1.75	1.00	1.25	2.25	0.25	0.25	0.00	3.00
104	Shawn Jones	MIA	PF	4	16.5	1.50	2.25	.667	0.00	0.00	.000	0.00	0.50	.000	1.50	2.50	1.25	1.75	3.00	0.75	0.50	0.75	3.00
105	Aaron Craft	GSW	PG	4	14.7	1.25	2.50	.500	0.50	1.25	.400	0.00	0.00	.000	1.75	1.75	0.00	2.50	2.50	1.50	1.00	0.00	3.00
106	Stephen Holt	CLE	SG	1	2.3	1.00	1.00	1.000	1.00	1.00	1.000	0.00	0.00	.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00
107	Jarell Eddie	ATL	SF	3	13.1	1.00	2.67	.375	0.67	2.33	.286	0.00	0.00	.000	0.67	1.67	0.00	0.67	0.67	0.33	0.00	0.33	2.67
108	Chris Crawford	CLE	SG	5	7.5	0.80	1.80	.444	0.60	1.60	.375	0.20	0.20	1.000	0.40	1.00	0.00	0.80	0.80	1.60	0.20	0.20	2.40
109	Ronald Roberts	PHI	SF	3	4.8	1.00	1.67	.600	0.00	0.00	.000	0.00	0.67	.000	0.67	0.67	0.67	0.33	1.00	0.33	0.00	0.00	2.00
110	Joe Ingles	LAC	SF	3	8.7	0.33	1.00	.333	0.33	0.67	.500	1.00	1.33	.750	0.33	1.33	0.33	1.00	1.33	0.33	0.00	0.00	2.00
112	Rodney McGruder	BOS	SG	3	4.9	1.00	2.00	.500	0.00	0.00	.000	0.00	1.00	.000	0.00	1.00	0.67	0.00	0.67	0.00	0.00	0.00	2.00
114	Tyler Ennis	PHX	PG	4	5.7	0.75	2.00	.375	0.00	0.50	.000	0.50	0.50	1.000	1.25	0.75	0.00	0.50	0.50	0.00	0.00	0.00	2.00
115	Luke Hancock	MEM	SF	1	9.1	1.00	1.00	1.000	0.00	0.00	.000	0.00	0.00	.000	0.00	3.00	0.00	0.00	0.00	1.00	3.00	0.00	2.00
116	Langston Galloway	NYK	PG	2	8.4	0.50	2.00	.250	0.50	1.50	.333	0.50	0.50	1.000	1.00	1.00	0.50	0.00	0.50	1.50	0.50	0.50	2.00
117	Joe Jackson	PHX	PG	1	6.7	1.00	3.00	.333	0.00	0.00	.000	0.00	2.00	.000	1.00	1.00	0.00	2.00	2.00	0.00	0.00	0.00	2.00
118	Josh Davis	SAS	SF	2	6.2	1.00	2.50	.400	0.00	0.00	.000	0.00	0.00	.000	0.00	0.50	1.00	0.50	1.50	0.00	0.00	0.00	2.00
119	Jerrelle Benimon	DEN	PF	5	8.9	0.80	1.40	.571	0.00	0.00	.000	0.20	1.20	.167	1.20	2.00	0.60	2.20	2.80	0.00	0.40	0.40	1.80
120	Khem Birch	MIA	PF	4	18.3	0.75	3.00	.250	0.00	0.00	.000	0.25	1.75	.143	1.00	1.00	3.00	3.50	6.50	1.25	1.25	0.75	1.75
121	Patric Young	NOP	PF	5	11.6	0.40	1.40	.286	0.00	0.00	.000	0.80	0.80	1.000	1.00	2.00	1.80	2.20	4.00	0.00	0.20	0.20	1.60
