37 	Marco Belinelli 	SG 	28 	SAS 	3 	1 	19.0 	2.7 	4.7 	.571 	1.7 	2.7 	.625 	1.0 	2.0 	.500 	1.3 	2.0 	.667 	0.0 	1.7 	1.7 	1.7 	0.7 	0.0 	1.0 	1.3 	8.3
38 	Anthony Bennett 	PF 	21 	MIN 	8 	1 	14.3 	2.4 	4.5 	.528 	0.0 	0.0 	0.0	2.4 	4.5 	.528 	1.1 	1.5 	.750 	0.3 	3.0 	3.3 	1.1 	0.3 	0.6 	0.4 	1.5 	5.9
39 	Patrick Beverley 	PG 	26 	HOU 	4 	4 	30.3 	3.5 	7.5 	.467 	2.3 	5.3 	.429 	1.3 	2.3 	.556 	1.5 	2.5 	.600 	1.3 	3.5 	4.8 	2.3 	0.8 	0.0 	1.3 	3.3 	10.8
40 	Bismack Biyombo 	C 	22 	CHO 	3 	0 	11.7 	1.0 	1.3 	.750 	0.0 	0.0 	0.0	1.0 	1.3 	.750 	2.7 	3.3 	.800 	2.0 	2.7 	4.7 	0.7 	0.0 	0.7 	1.0 	2.0 	4.7
41 	Tarik Black 	PF 	23 	HOU 	8 	1 	13.3 	1.1 	2.5 	.450 	0.0 	0.0 	0.0	1.1 	2.5 	.450 	0.4 	1.0 	.375 	1.8 	2.0 	3.8 	0.1 	0.1 	0.1 	0.8 	2.5 	2.6
42 	DeJuan Blair 	PF 	25 	WAS 	3 	0 	3.7 	0.3 	0.3 	1.000 	0.0 	0.0 	0.0	0.3 	0.3 	1.000 	0.0 	0.0 	0.0	0.0 	0.3 	0.3 	0.3 	0.3 	0.0 	0.3 	1.7 	0.7
43 	Steve Blake 	PG 	34 	POR 	10 	0 	21.6 	1.6 	4.6 	.348 	1.3 	3.7 	.351 	0.3 	0.9 	.333 	0.5 	0.6 	.833 	0.2 	2.2 	2.4 	3.8 	0.8 	0.1 	1.4 	1.8 	5.0
44 	Eric Bledsoe 	PG 	25 	PHO 	10 	10 	31.2 	4.5 	10.2 	.441 	1.1 	2.9 	.379 	3.4 	7.3 	.466 	3.2 	3.9 	.821 	0.9 	4.1 	5.0 	5.4 	1.0 	0.6 	3.2 	2.7 	13.3
45 	Bojan Bogdanovic 	SF 	25 	BRK 	9 	9 	29.2 	3.6 	8.1 	.438 	1.2 	3.9 	.314 	2.3 	4.2 	.553 	0.9 	0.9 	1.000 	0.6 	2.0 	2.6 	1.1 	0.7 	0.1 	1.2 	1.7 	9.2
46 	Andrew Bogut 	C 	30 	GSW 	10 	10 	27.6 	3.8 	6.4 	.594 	0.0 	0.0 	0.0	3.8 	6.4 	.594 	0.6 	1.1 	.545 	2.4 	8.1 	10.5 	3.0 	0.8 	1.8 	2.3 	3.3 	8.2
47 	Matt Bonner 	PF 	34 	SAS 	6 	5 	17.8 	1.5 	4.7 	.321 	1.0 	3.0 	.333 	0.5 	1.7 	.300 	0.7 	0.7 	1.000 	0.5 	1.8 	2.3 	0.8 	0.2 	0.2 	0.2 	2.2 	4.7
48 	Trevor Booker 	PF 	27 	UTA 	11 	0 	20.5 	3.5 	6.0 	.576 	0.6 	1.5 	.412 	2.8 	4.5 	.633 	1.1 	2.0 	.545 	1.5 	2.6 	4.1 	1.2 	0.5 	0.2 	1.4 	2.2 	8.6
49 	Carlos Boozer 	PF 	33 	LAL 	10 	10 	27.7 	5.4 	11.3 	.478 	0.0 	0.0 	0.0	5.4 	11.3 	.478 	2.1 	2.8 	.750 	1.8 	4.2 	6.0 	1.7 	0.7 	0.1 	1.7 	3.5 	12.9
50 	Chris Bosh 	C 	30 	MIA 	10 	10 	35.9 	6.6 	16.0 	.413 	1.1 	3.7 	.297 	5.5 	12.3 	.447 	6.1 	7.6 	.803 	1.7 	7.0 	8.7 	3.1 	1.4 	0.8 	2.4 	1.2 	20.4
51 	Avery Bradley 	SG 	24 	BOS 	8 	8 	31.3 	6.4 	13.8 	.464 	1.4 	4.5 	.306 	5.0 	9.3 	.541 	1.1 	1.4 	.818 	0.6 	2.6 	3.3 	1.1 	0.9 	0.3 	1.8 	3.0 	15.3
52 	Elton Brand 	PF 	35 	ATL 	2 	0 	10.5 	1.5 	2.0 	.750 	0.0 	0.0 	0.0	1.5 	2.0 	.750 	0.5 	2.0 	.250 	0.0 	1.5 	1.5 	1.0 	0.5 	0.5 	1.0 	0.5 	3.5
53 	Corey Brewer 	SF 	28 	MIN 	9 	2 	22.9 	3.7 	7.8 	.471 	0.2 	1.1 	.200 	3.4 	6.7 	.517 	2.2 	3.4 	.645 	1.3 	1.8 	3.1 	1.4 	1.7 	0.0 	1.3 	1.6 	9.8
54 	Aaron Brooks 	PG 	30 	CHI 	10 	0 	19.2 	3.9 	7.9 	.494 	1.5 	2.9 	.517 	2.4 	5.0 	.480 	1.4 	1.7 	.824 	0.2 	1.3 	1.5 	3.6 	0.5 	0.3 	2.3 	2.8 	10.7
55 	Shannon Brown 	SG 	29 	MIA 	2 	0 	7.0 	0.5 	2.0 	.250 	0.5 	1.5 	.333 	0.0 	0.5 	.000 	0.5 	1.0 	.500 	0.0 	0.5 	0.5 	0.5 	0.0 	0.0 	0.0 	0.0 	2.0
56 	Kobe Bryant 	SG 	36 	LAL 	10 	10 	34.8 	9.2 	24.4 	.377 	1.9 	6.6 	.288 	7.3 	17.8 	.410 	7.0 	9.0 	.778 	0.7 	4.5 	5.2 	3.8 	1.5 	0.3 	3.0 	2.4 	27.3
57 	Chase Budinger 	SF 	26 	MIN 	7 	0 	8.3 	0.6 	2.9 	.200 	0.3 	1.3 	.222 	0.3 	1.6 	.182 	0.7 	0.9 	.833 	0.0 	2.0 	2.0 	0.0 	0.1 	0.1 	0.3 	0.3 	2.1
58 	Reggie Bullock 	SF 	23 	LAC 	3 	0 	12.3 	2.0 	3.0 	.667 	2.0 	2.7 	.750 	0.0 	0.3 	.000 	0.0 	0.0 	0.0	0.0 	2.0 	2.0 	0.7 	0.0 	0.3 	0.3 	1.0 	6.0
59 	Trey Burke 	PG 	22 	UTA 	11 	11 	31.8 	3.6 	11.4 	.320 	1.2 	4.9 	.241 	2.5 	6.5 	.380 	1.5 	1.7 	.842 	0.5 	1.8 	2.4 	5.4 	1.2 	0.5 	2.0 	2.1 	9.9
60 	Alec Burks 	SG 	23 	UTA 	11 	11 	34.3 	4.6 	11.2 	.415 	0.9 	2.5 	.370 	3.7 	8.7 	.427 	3.3 	3.9 	.837 	0.6 	3.3 	3.9 	3.0 	0.5 	0.1 	2.3 	2.4 	13.5
61 	Caron Butler 	SF 	34 	DET 	10 	0 	26.9 	2.5 	5.9 	.424 	1.2 	3.2 	.375 	1.3 	2.7 	.481 	0.6 	0.8 	.750 	0.6 	4.1 	4.7 	0.7 	0.5 	0.0 	0.9 	2.1 	6.8
62 	Jimmy Butler 	SG 	25 	CHI 	8 	8 	39.8 	7.0 	13.1 	.533 	1.1 	2.9 	.391 	5.9 	10.3 	.573 	6.1 	7.8 	.790 	1.6 	4.6 	6.3 	3.4 	1.4 	0.8 	1.5 	2.1 	21.3
63 	Rasual Butler 	SF 	35 	WAS 	5 	0 	19.2 	3.4 	5.6 	.607 	1.4 	2.8 	.500 	2.0 	2.8 	.714 	0.8 	0.8 	1.000 	0.2 	1.6 	1.8 	1.2 	0.2 	0.0 	0.4 	1.2 	9.0
64 	Kentavious Caldwell-Pope 	SG 	21 	DET 	10 	10 	34.7 	4.4 	12.4 	.355 	1.8 	5.6 	.321 	2.6 	6.8 	.382 	1.1 	2.0 	.550 	0.9 	2.7 	3.6 	0.9 	0.3 	0.2 	0.9 	2.0 	11.7
65 	Isaiah Canaan 	PG 	23 	HOU 	9 	6 	23.4 	3.2 	7.3 	.439 	1.9 	4.3 	.436 	1.3 	3.0 	.444 	0.8 	1.1 	.700 	0.7 	1.3 	2.0 	1.6 	0.8 	0.0 	1.7 	1.8 	9.1
66 	Clint Capela 	C 	20 	HOU 	1 	0 	6.0 	0.0 	0.0 	0.0	0.0 	0.0 	0.0	0.0 	0.0 	0.0	0.0 	4.0 	.000 	0.0 	3.0 	3.0 	1.0 	0.0 	0.0 	1.0 	1.0 	0.0
67 	DeMarre Carroll 	SF 	28 	ATL 	6 	6 	33.8 	4.2 	8.5 	.490 	1.8 	4.0 	.458 	2.3 	4.5 	.519 	1.8 	2.3 	.786 	1.8 	4.5 	6.3 	1.5 	1.2 	0.0 	1.2 	3.0 	12.0
68 	Vince Carter 	SG 	38 	MEM 	9 	0 	16.0 	2.3 	6.4 	.362 	1.1 	3.6 	.313 	1.2 	2.9 	.423 	0.4 	0.7 	.667 	0.4 	1.9 	2.3 	1.2 	0.6 	0.1 	1.2 	1.8 	6.2
69 	Michael Carter-Williams 	G 	23 	PHI 	2 	0 	28.5 	5.0 	15.5 	.323 	1.5 	4.0 	.375 	3.5 	11.5 	.304 	4.5 	6.5 	.692 	2.5 	4.0 	6.5 	5.0 	1.0 	0.0 	5.5 	3.5 	16.0
70 	Omri Casspi 	SF 	26 	SAC 	10 	0 	15.8 	2.0 	3.8 	.526 	0.1 	0.8 	.125 	1.9 	3.0 	.633 	2.4 	2.7 	.889 	0.8 	2.7 	3.5 	1.4 	0.2 	0.2 	1.0 	2.1 	6.5
