Jared Dudley 	6.025	2.575	2.15	0.675	0.325	1.35	0.383	0.5525	1.275	SF 
Tim Duncan 	13.85	3.2	9.3	0.75	1.85	2.2	0.4775	0.6555	-0.05	C 
Mike Dunleavy 	10.3	2.42	3.98	0.6	0.46	1.38	0.3948	0.8542	1.42	SF 
Kevin Durant 	32.8857142857	5.67142857143	7.17142857143	1.12857142857	0.657142857143	3.5	0.525571428571	0.903428571429	2.68571428571	SF 
Monta Ellis 	15.8666666667	5.65	4.6	1.11666666667	0.1	2.78333333333	0.422	0.82	0.583333333333	PG 
Melvin Ely 	1.5	-0.928571428571	0.128571428571	-0.0285714285714	0.428571428571	-0.142857142857	0.482714285714	-0.0434285714286	3.17206578464e-17	C 
Jeremy Evans 	6.15	0.35	4.61666666667	0.433333333333	0.583333333333	0.333333333333	0.511666666667	0.725833333333	-0.233333333333	SF 
Reggie Evans 	3.8	0.2	7.25	0.3	0.1	1.05	0.4645	0.572	0.1	PF 
Tyreke Evans 	14.52	5.32	5.18	1.42	0.48	2.18	0.4376	0.768	0.4	SF 
Kenneth Faried 	11.78	1.34	8.64	1.36	1.06	1.94	0.5172	0.64	-0.28	PF 
Jordan Farmar 	9.38333333333	4.33333333333	2.61666666667	0.833333333333	0.2	2.28333333333	0.397666666667	0.775833333333	1.76666666667	PG 
Vitor Faverani 	3.85	0.166666666667	3.35	0.416666666667	0.583333333333	0.733333333333	0.416333333333	0.5595	0.166666666667	C 
Derrick Favors 	15.325	1.025	9.35	0.75	1.575	1.775	0.51025	0.71725	0.15	PF 
Raymond Felton 	8.78	4.98	3.3	1.0	0.46	2.08	0.3936	0.7162	1.0	PG 
Landry Fields 	3.475	0.9	2.0	0.375	0.0	0.525	0.40375	0.647	-0.1	SF 
Evan Fournier 	7.95	1.8	1.58333333333	0.7	0.15	1.26666666667	0.405666666667	0.835333333333	1.23333333333	SG 
Randy Foye 	12.65	3.58333333333	2.08333333333	0.733333333333	0.45	1.86666666667	0.422666666667	0.804166666667	2.25	SG 
Jimmer Fredette 	6.6	0.8	1.2	0.25	0.05	0.75	0.457	1.016	0.75	SG 
Joel Freeland 	2.9	0.8	3.975	0.45	0.4	0.9	0.44	0.58475	-0.1	C 
Channing Frye 	11.0	0.942857142857	5.05714285714	0.8	0.914285714286	1.22857142857	0.425	0.865285714286	2.05714285714	PF 
Francisco Garcia 	3.7	1.55	1.55	0.8	0.6	0.65	0.3805	0.4925	1.05	SF 
Kevin Garnett 	5.25	1.7	6.2	0.95	0.65	1.4	0.4285	0.7335	-0.05	C 
Diante Garrett 	3.0	1.48	1.5	0.7	-1.38777878078e-17	0.84	0.35	0.7818	0.54	PG 
Marc Gasol 	13.925	3.575	7.45	1.0	1.25	1.9	0.4385	0.588	0.5	C 
Pau Gasol 	15.6666666667	3.36666666667	9.6	0.583333333333	1.4	2.28333333333	0.44	0.677333333333	0.166666666667	C 
Rudy Gay 	18.6285714286	2.71428571429	6.32857142857	1.4	0.714285714286	2.7	0.441285714286	0.836571428571	0.9	SF 
Alonzo Gee 	0.5	0.575	1.55	0.05	-0.2	0.975	0.3345	0.34475	0.15	SF 
Paul George 	15.2	2.8	5.7	0.95	-0.05	2.1	0.434	0.856	1.85	SF 
Taj Gibson 	13.1375	0.85	7.2875	0.45	1.3125	1.8125	0.46025	0.691125	0.3375	PF 
Manu Ginobili 	10.8	3.28	2.3	0.82	0.2	1.88	0.458	0.8318	1.24	SG 
