406 	Spud Webb 	PG 	34 	ORL 	4 	0 	34 	5.3 	12.7 	.417 	0.0 	1.1 	.000 	5.3 	11.6 	.455 	2.1 	2.1 	1.000 	2.1 	1.1 	3.2 	5.3 	1.1 	0.0 	7.4 	6.4 	12.7
407 	Chris Webber 	C 	24 	WAS 	71 	71 	2809 	8.3 	17.2 	.482 	0.8 	2.6 	.317 	7.5 	14.6 	.512 	2.5 	4.3 	.589 	2.3 	6.4 	8.6 	3.5 	1.4 	1.6 	2.4 	3.4 	19.9
408 	Bubba Wells 	SG 	23 	DAL 	39 	2 	395 	4.4 	10.6 	.414 	0.1 	0.5 	.167 	4.3 	10.0 	.427 	2.8 	3.9 	.721 	2.0 	4.2 	6.2 	3.1 	1.4 	0.4 	2.8 	3.6 	11.7
409 	Bill Wennington 	C 	34 	CHI 	48 	8 	467 	5.8 	13.3 	.436 	0.0 	0.0 	0.0	5.8 	13.3 	.436 	1.3 	1.6 	.810 	2.5 	3.7 	6.2 	1.5 	0.3 	0.4 	1.2 	5.9 	12.9
410 	David Wesley 	PG 	27 	CHH 	81 	81 	2845 	4.8 	10.9 	.443 	0.7 	2.2 	.347 	4.1 	8.8 	.467 	2.9 	3.6 	.795 	0.6 	2.1 	2.7 	6.7 	1.8 	0.4 	2.9 	2.9 	13.3
411 	Doug West 	SG 	30 	MIN 	38 	10 	688 	3.3 	8.9 	.374 	0.0 	0.1 	.000 	3.3 	8.8 	.379 	1.5 	2.1 	.725 	1.2 	3.1 	4.3 	2.4 	0.6 	0.3 	1.1 	5.1 	8.2
412 	Mark West 	C 	37 	IND 	15 	1 	105 	3.4 	7.2 	.476 	0.0 	0.0 	0.0	3.4 	7.2 	.476 	1.0 	2.1 	.500 	2.1 	3.1 	5.1 	0.7 	0.7 	1.4 	2.7 	5.1 	7.9
413 	DeJuan Wheat 	PG 	24 	MIN 	34 	0 	150 	4.8 	12.0 	.400 	1.9 	4.1 	.471 	2.9 	7.9 	.364 	2.2 	3.6 	.600 	0.7 	1.9 	2.6 	6.0 	1.4 	0.2 	2.2 	2.9 	13.7
414 	Donald Whiteside 	PG 	28 	ATL 	3 	0 	16 	2.3 	4.5 	.500 	0.0 	2.3 	.000 	2.3 	2.3 	1.000 	0.0 	4.5 	.000 	0.0 	2.3 	2.3 	2.3 	0.0 	0.0 	2.3 	0.0 	4.5
415 	Chris Whitney 	PG 	26 	WAS 	82 	6 	1073 	4.2 	11.9 	.355 	1.7 	5.7 	.308 	2.5 	6.2 	.398 	4.0 	4.3 	.915 	0.5 	3.3 	3.9 	6.6 	1.1 	0.2 	2.2 	3.6 	14.2
