50 	547	30 	16 	14 	.533 	1.20 	0.56 	9 	7 	12 	2 	3 	9 	2195 	2115 	0.0	792 	1798 	.440 	175 	507 	.345 	436 	606 	.719 	0.0	1185 	382 	211 	175 	465 	
51 	548	28 	2 	26 	.071 	-20.25 	0.51 	0 	14 	2 	10 	0 	15 	1766 	2275 	0.0	648 	1620 	.400 	118 	426 	.277 	352 	571 	.616 	0.0	1003 	410 	184 	57 	520 	
52 	549	35 	31 	4 	.886 	24.38 	6.58 	14 	2 	18 	0 	7 	3 	2738 	2115 	0.0	967 	2071 	.467 	209 	577 	.362 	595 	839 	.709 	0.0	1396 	480 	167 	154 	416 	
53 	550	29 	17 	12 	.586 	-0.49 	-2.25 	8 	8 	12 	2 	4 	9 	2115 	1980 	0.0	694 	1673 	.415 	208 	611 	.340 	519 	731 	.710 	0.0	1126 	363 	212 	88 	440 	
54 	551	30 	13 	17 	.433 	3.56 	5.16 	4 	12 	8 	8 	3 	7 	2257 	2305 	0.0	823 	1876 	.439 	182 	572 	.318 	429 	685 	.626 	0.0	1246 	440 	220 	105 	466 	
55 	552	28 	12 	16 	.429 	-2.30 	-1.47 	6 	10 	9 	6 	3 	9 	1882 	1905 	0.0	673 	1513 	.445 	150 	457 	.328 	386 	603 	.640 	0.0	993 	325 	222 	125 	460 	
56 	553	28 	8 	20 	.286 	-16.42 	-6.92 	5 	9 	6 	6 	2 	13 	1947 	2195 	0.0	633 	1589 	.398 	188 	564 	.333 	493 	712 	.692 	0.0	942 	348 	238 	42 	490 	
57 	555	28 	17 	11 	.607 	-5.84 	-7.15 	8 	6 	9 	4 	8 	6 	2037 	1935 	0.0	718 	1582 	.454 	143 	434 	.329 	458 	655 	.699 	0.0	951 	392 	210 	62 	370 	
58 	554	30 	21 	9 	.700 	4.90 	-3.13 	9 	7 	10 	4 	7 	4 	2082 	1824 	0.0	730 	1680 	.435 	169 	456 	.371 	453 	633 	.716 	0.0	1181 	379 	213 	146 	399 	
59 	557	30 	12 	18 	.400 	3.09 	4.28 	3 	11 	7 	7 	3 	9 	2064 	2047 	0.0	731 	1533 	.477 	140 	372 	.376 	462 	684 	.675 	0.0	1058 	455 	185 	99 	524 	
60 	556	29 	15 	14 	.517 	6.16 	4.99 	5 	11 	12 	4 	2 	9 	2312 	2258 	0.0	834 	1842 	.453 	192 	538 	.357 	452 	668 	.677 	0.0	1249 	508 	178 	137 	425 	
61 	558	28 	11 	17 	.393 	-6.14 	-3.72 	4 	10 	5 	6 	4 	10 	1543 	1596 	0.0	508 	1219 	.417 	181 	538 	.336 	346 	499 	.693 	0.0	873 	331 	130 	124 	466 	
62 	559	34 	27 	7 	.794 	16.02 	7.43 	13 	3 	13 	1 	7 	3 	2646 	2354 	0.0	972 	2012 	.483 	154 	391 	.394 	548 	787 	.696 	0.0	1381 	494 	256 	236 	545 	
63 	560	31 	6 	25 	.194 	-18.76 	-7.83 	3 	15 	3 	7 	2 	12 	1803 	2130 	0.0	640 	1695 	.378 	125 	461 	.271 	398 	559 	.712 	0.0	1102 	274 	202 	96 	505 	
64 	561	27 	5 	22 	.185 	-13.00 	-2.58 	2 	12 	4 	8 	1 	13 	1558 	1797 	0.0	549 	1446 	.380 	200 	641 	.312 	260 	375 	.693 	0.0	884 	344 	190 	67 	395 	
65 	562	32 	23 	9 	.719 	8.38 	1.38 	14 	4 	12 	3 	7 	5 	2421 	2197 	0.0	849 	1829 	.464 	230 	619 	.372 	493 	675 	.730 	0.0	1142 	488 	261 	125 	458 	
66 	567	27 	9 	18 	.333 	-14.02 	-5.71 	2 	12 	4 	9 	4 	8 	1698 	1887 	0.0	582 	1359 	.428 	263 	671 	.392 	271 	391 	.693 	0.0	736 	362 	154 	64 	344 	
67 	568	31 	21 	10 	.677 	0.60 	0.71 	11 	5 	11 	2 	7 	6 	2192 	2046 	0.0	776 	1778 	.436 	249 	705 	.353 	391 	574 	.681 	0.0	1193 	484 	210 	116 	486 	
68 	569	32 	21 	11 	.656 	12.73 	3.38 	10 	6 	13 	4 	6 	6 	2339 	2040 	0.0	814 	1816 	.448 	224 	629 	.356 	487 	715 	.681 	0.0	1278 	546 	185 	106 	433 	
69 	571	29 	16 	13 	.552 	-9.37 	-10.54 	12 	6 	7 	3 	8 	9 	1880 	1846 	0.0	644 	1577 	.408 	221 	667 	.331 	371 	503 	.738 	0.0	907 	395 	181 	64 	372 	
70 	570	30 	14 	16 	.467 	-1.57 	-1.40 	9 	9 	8 	4 	4 	9 	2002 	2007 	0.0	705 	1715 	.411 	214 	635 	.337 	378 	521 	.726 	0.0	1096 	403 	214 	80 	401 	
71 	572	28 	8 	20 	.286 	-8.16 	-1.60 	3 	12 	6 	7 	2 	12 	1820 	1958 	0.0	681 	1561 	.436 	162 	428 	.379 	296 	423 	.700 	0.0	864 	374 	177 	46 	349 	
72 	573	28 	9 	19 	.321 	0.60 	6.21 	2 	14 	5 	8 	2 	9 	1981 	2138 	0.0	708 	1715 	.413 	165 	528 	.313 	400 	610 	.656 	0.0	1121 	463 	198 	71 	472 	
73 	574	31 	18 	13 	.581 	2.39 	1.04 	11 	5 	11 	1 	7 	9 	2037 	1995 	0.0	756 	1765 	.428 	167 	513 	.326 	358 	568 	.630 	0.0	1156 	385 	162 	106 	364 	
74 	575	29 	14 	15 	.483 	-2.16 	-0.54 	9 	9 	9 	4 	4 	10 	2007 	2054 	0.0	669 	1499 	.446 	232 	595 	.390 	437 	606 	.721 	0.0	923 	399 	144 	37 	389 	
75 	576	28 	14 	14 	.500 	-2.84 	-2.41 	11 	7 	10 	2 	3 	10 	2040 	2052 	0.0	706 	1721 	.410 	188 	583 	.322 	440 	648 	.679 	0.0	1103 	440 	182 	135 	363 	
76 	577	35 	31 	4 	.886 	28.91 	9.16 	13 	3 	13 	0 	7 	3 	3112 	2421 	0.0	1093 	2209 	.495 	301 	830 	.363 	625 	906 	.690 	0.0	1303 	625 	351 	113 	501 	
77 	578	28 	9 	19 	.321 	-4.72 	3.43 	4 	12 	7 	6 	2 	12 	1792 	2020 	0.0	624 	1482 	.421 	152 	436 	.349 	392 	541 	.725 	0.0	940 	324 	162 	69 	447 	
78 	583	30 	12 	18 	.400 	-0.82 	6.63 	5 	11 	10 	5 	0 	12 	1932 	2068 	0.0	646 	1663 	.388 	209 	675 	.310 	431 	625 	.690 	0.0	1060 	346 	176 	138 	442 	
79 	586	28 	18 	10 	.643 	3.23 	-1.57 	11 	5 	12 	1 	6 	8 	2281 	2039 	0.0	822 	1790 	.459 	139 	440 	.316 	498 	707 	.704 	0.0	1129 	392 	252 	119 	480 	
80 	579	31 	15 	16 	.484 	-8.06 	-1.71 	7 	9 	10 	3 	4 	11 	2305 	2397 	0.0	802 	1867 	.430 	205 	598 	.343 	496 	712 	.697 	0.0	1119 	443 	203 	91 	473 	
81 	580	27 	7 	20 	.259 	-14.13 	-2.34 	3 	13 	7 	6 	0 	14 	1971 	2158 	0.0	708 	1739 	.407 	177 	592 	.299 	378 	523 	.723 	0.0	1056 	409 	223 	76 	440 	
82 	581	30 	6 	24 	.200 	-14.73 	-0.70 	2 	16 	4 	11 	1 	11 	1994 	2370 	0.0	667 	1581 	.422 	146 	433 	.337 	514 	745 	.690 	0.0	1017 	347 	129 	85 	495 	
83 	582	30 	17 	13 	.567 	-2.11 	-1.32 	10 	4 	8 	3 	6 	8 	2094 	2068 	0.0	706 	1496 	.472 	177 	460 	.385 	505 	713 	.708 	0.0	901 	444 	213 	82 	521 	
84 	585	29 	13 	16 	.448 	-13.43 	-7.07 	7 	7 	10 	2 	1 	13 	2016 	2117 	0.0	737 	1784 	.413 	122 	389 	.314 	420 	624 	.673 	0.0	1051 	354 	260 	98 	501 	
85 	587	28 	7 	21 	.250 	-8.36 	0.68 	4 	14 	6 	8 	1 	12 	1893 	2146 	0.0	662 	1472 	.450 	164 	473 	.347 	405 	562 	.721 	0.0	895 	413 	154 	75 	470 	
86 	589	29 	12 	17 	.414 	-5.63 	-4.28 	9 	9 	7 	5 	4 	11 	2078 	2117 	0.0	698 	1616 	.432 	157 	463 	.339 	525 	719 	.730 	0.0	1075 	394 	239 	199 	523 	
